"CO_IES","TP_COR_RACA","TP_SEXO","IN_CONCLUINTE","IN_APOIO_BOLSA_PERMANENCIA","value","ANO_CENSO_SUP"
977,0,2,1,0,14,2009
977,0,1,0,0,329,2009
977,0,1,1,0,31,2009
977,1,2,0,0,2,2009
977,1,1,0,0,6,2009
977,1,1,1,0,2,2009
977,2,2,0,0,6,2009
977,2,2,1,0,1,2009
977,2,1,0,0,5,2009
977,2,1,1,0,5,2009
977,3,2,0,0,9,2009
977,3,1,0,0,9,2009
977,3,1,1,0,1,2009
977,4,2,0,0,2,2009
977,9,2,0,0,8,2009
977,9,1,0,0,23,2009
1055,0,2,0,0,76,2009
1055,0,2,1,0,2,2009
1055,0,1,0,0,61,2009
1055,1,2,0,0,21,2009
1055,1,2,1,0,2,2009
1055,1,1,0,0,20,2009
1055,1,1,1,0,5,2009
1055,2,2,0,0,12,2009
1055,2,1,0,0,9,2009
1055,2,1,1,0,1,2009
1055,3,2,0,0,35,2009
1055,3,2,1,0,2,2009
1055,3,1,0,0,65,2009
1055,3,1,1,0,6,2009
1055,4,2,0,0,2,2009
1055,4,1,0,0,2,2009
1055,9,2,0,0,695,2009
1055,9,2,1,0,154,2009
1055,9,1,0,0,748,2009
1055,9,1,1,0,205,2009
1058,0,2,0,0,5080,2009
1058,0,2,1,0,751,2009
1058,0,1,0,0,7044,2009
1058,0,1,1,0,1410,2009
1058,1,2,0,0,18,2009
1058,1,2,1,0,1,2009
1058,1,1,0,0,18,2009
1058,2,2,0,0,3,2009
1058,2,1,0,0,9,2009
1058,3,2,0,0,26,2009
1058,3,1,0,0,63,2009
1058,4,2,0,0,1,2009
1058,4,1,0,0,2,2009
1058,5,1,0,0,3,2009
1058,9,2,0,0,96,2009
1058,9,1,0,0,182,2009
1058,9,1,1,0,4,2009
1123,0,2,0,0,214,2009
1123,0,2,1,0,80,2009
1123,0,1,0,0,216,2009
1123,0,1,1,0,63,2009
1123,1,2,0,0,5,2009
1123,1,2,1,0,3,2009
1123,1,1,0,0,3,2009
1123,1,1,1,0,4,2009
1123,2,2,0,0,9,2009
1123,2,2,1,0,13,2009
1123,2,1,0,0,7,2009
1123,2,1,1,0,16,2009
1123,3,2,0,0,12,2009
1123,3,2,1,0,17,2009
1123,3,1,0,0,8,2009
1123,3,1,1,0,10,2009
1123,4,2,0,0,1,2009
1123,4,1,1,0,2,2009
1123,9,2,0,0,7,2009
1123,9,2,1,0,3,2009
1123,9,1,0,0,7,2009
1123,9,1,1,0,1,2009
1147,0,2,0,0,7,2009
1147,0,1,0,0,14,2009
1147,0,1,1,0,7,2009
1147,2,1,0,0,1,2009
1147,3,2,0,0,53,2009
1147,3,2,1,0,30,2009
1147,3,1,0,0,199,2009
1147,3,1,1,0,162,2009
1147,9,2,0,0,3,2009
1147,9,1,0,0,15,2009
1147,9,1,1,0,2,2009
1158,0,2,0,0,6,2009
1158,0,1,0,0,1,2009
1158,1,2,0,0,2,2009
1158,3,2,0,0,130,2009
1158,3,2,1,0,122,2009
1158,3,1,0,0,12,2009
1158,3,1,1,0,17,2009
1158,9,2,0,0,6,2009
1158,9,2,1,0,2,2009
1158,9,1,0,0,2,2009
1185,0,2,0,0,307,2009
1185,0,2,1,0,5,2009
1185,0,1,0,0,324,2009
1185,0,1,1,0,8,2009
1185,1,2,0,0,19,2009
1185,1,2,1,0,1,2009
1185,1,1,0,0,43,2009
1185,2,2,0,0,6,2009
1185,2,1,0,0,13,2009
1185,3,2,0,0,69,2009
1185,3,2,1,0,1,2009
1185,3,1,0,0,240,2009
1185,3,1,1,0,1,2009
1185,4,2,0,0,1,2009
1185,4,1,0,0,3,2009
1185,4,1,1,0,1,2009
1185,5,1,0,0,3,2009
1185,9,2,0,0,4713,2009
1185,9,2,1,0,591,2009
1185,9,1,0,0,6751,2009
1185,9,1,1,0,1124,2009
1228,0,2,0,0,31,2009
1228,0,2,1,0,1,2009
1228,0,1,0,0,20,2009
1228,1,2,0,0,4,2009
1228,1,1,0,0,3,2009
1228,1,1,1,0,1,2009
1228,2,2,0,0,1,2009
1228,2,1,0,0,4,2009
1228,3,2,0,0,15,2009
1228,3,2,1,0,3,2009
1228,3,1,0,0,9,2009
1228,3,1,1,0,1,2009
1228,4,2,0,0,3,2009
1228,9,2,0,0,604,2009
1228,9,2,1,0,89,2009
1228,9,1,0,0,398,2009
1228,9,1,1,0,101,2009
1302,0,2,0,0,95,2009
1302,0,2,0,1,115,2009
1302,0,2,1,0,1,2009
1302,0,1,0,0,33,2009
1302,0,1,0,1,33,2009
